workerid,proliferate.condition,chosen_continuation,exp_continuation,id,order,prompt,response,type,unexp_continuation,catch_trials,condition,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.other_language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1047,cond2,The bird that she saw at the store was too aggressive.,The bird that she saw at the store was too aggressive.,6_rat_affirmative_negation_nonref,1,Carla got a pet rat but she didn't get a bird.,exp,affirmative_negation,The rat that she saw at the store was too aggressive.,[],2,18,Yes,,2,2,$1,Female,english,latin,no,Safari,Mac,900,1440,1.1161166666666666,
1047,cond2,The room was cheaper than he expected.,The room was cheaper than he expected.,12_ticket_know_doubt_ref,0,I know that Thomas booked a hotel room in advance but I doubt that he booked a ticket.,exp,know_doubt,The ticket was cheaper than he expected.,[],2,18,Yes,,2,2,$1,Female,english,latin,no,Safari,Mac,900,1440,1.1161166666666666,
1047,cond2,and it's not a big deal.,and it's not a big deal.,1_dog_negated,0,John doesn't own a dog,exp,negated,and it follows him everywhere he goes.,[],2,18,Yes,,2,2,$1,Female,english,latin,no,Safari,Mac,900,1440,1.1161166666666666,
1047,cond2,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],2,18,Yes,,2,2,$1,Female,english,latin,no,Safari,Mac,900,1440,1.1161166666666666,
1047,cond2,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],2,18,Yes,,2,2,$1,Female,english,latin,no,Safari,Mac,900,1440,1.1161166666666666,
1284,cond2,and socks in the drawer.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,unexp,filler,and socks in the drawer.,[],2,33,Yes,,-1,2,25 cents,Male,English,,No,Safari,iPhone/iPod,896,414,0.8348666666666666,
1284,cond2,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],2,33,Yes,,-1,2,25 cents,Male,English,,No,Safari,iPhone/iPod,896,414,0.8348666666666666,
1284,cond2,and it's not a big deal.,and it's not a big deal.,1_dog_negated,1,John doesn't own a dog,exp,negated,and it follows him everywhere he goes.,[],2,33,Yes,,-1,2,25 cents,Male,English,,No,Safari,iPhone/iPod,896,414,0.8348666666666666,
1284,cond2,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],2,33,Yes,,-1,2,25 cents,Male,English,,No,Safari,iPhone/iPod,896,414,0.8348666666666666,
1284,cond2,The room was cheaper than he expected.,The room was cheaper than he expected.,12_ticket_know_doubt_ref,0,I know that Thomas booked a hotel room in advance but I doubt that he booked a ticket.,exp,know_doubt,The ticket was cheaper than he expected.,[],2,33,Yes,,-1,2,25 cents,Male,English,,No,Safari,iPhone/iPod,896,414,0.8348666666666666,
1284,cond2,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],2,33,Yes,,-1,2,25 cents,Male,English,,No,Safari,iPhone/iPod,896,414,0.8348666666666666,
1284,cond2,The bird that she saw at the store was too aggressive.,The bird that she saw at the store was too aggressive.,6_rat_affirmative_negation_nonref,1,Carla got a pet rat but she didn't get a bird.,exp,affirmative_negation,The rat that she saw at the store was too aggressive.,[],2,33,Yes,,-1,2,25 cents,Male,English,,No,Safari,iPhone/iPod,896,414,0.8348666666666666,
916,cond2,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],2,36,Yes,,3,2,$1,Female,English,,no,Chrome,Windows,720,1280,4.4214166666666666,
916,cond2,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],2,36,Yes,,3,2,$1,Female,English,,no,Chrome,Windows,720,1280,4.4214166666666666,
916,cond2,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],2,36,Yes,,3,2,$1,Female,English,,no,Chrome,Windows,720,1280,4.4214166666666666,
916,cond2,The bird that she saw at the store was too aggressive.,The bird that she saw at the store was too aggressive.,6_rat_affirmative_negation_nonref,1,Carla got a pet rat but she didn't get a bird.,exp,affirmative_negation,The rat that she saw at the store was too aggressive.,[],2,36,Yes,,3,2,$1,Female,English,,no,Chrome,Windows,720,1280,4.4214166666666666,
916,cond2,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],2,36,Yes,,3,2,$1,Female,English,,no,Chrome,Windows,720,1280,4.4214166666666666,
916,cond2,and it's not a big deal.,and it's not a big deal.,1_dog_negated,1,John doesn't own a dog,exp,negated,and it follows him everywhere he goes.,[],2,36,Yes,,3,2,$1,Female,English,,no,Chrome,Windows,720,1280,4.4214166666666666,
916,cond2,The ticket was cheaper than he expected.,The room was cheaper than he expected.,12_ticket_know_doubt_ref,0,I know that Thomas booked a hotel room in advance but I doubt that he booked a ticket.,unexp,know_doubt,The ticket was cheaper than he expected.,[],2,36,Yes,,3,2,$1,Female,English,,no,Chrome,Windows,720,1280,4.4214166666666666,
784,cond16,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],16,28,Yes,Encountered no problems.,2,1,$0.50,Female,English,None,No technical issues.,Chrome,Windows,1080,1920,2.391966666666667,
784,cond16,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],16,28,Yes,Encountered no problems.,2,1,$0.50,Female,English,None,No technical issues.,Chrome,Windows,1080,1920,2.391966666666667,
784,cond16,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],16,28,Yes,Encountered no problems.,2,1,$0.50,Female,English,None,No technical issues.,Chrome,Windows,1080,1920,2.391966666666667,
784,cond16,The room that he tried to get could not be booked online.,The room that he tried to get could not be booked online.,12_ticket_managed_failed_nonref,0,Thomas managed to book a ticket in advance but failed to book a hotel room.,exp,managed_failed,The ticket he tried to get could not be booked online.,[],16,28,Yes,Encountered no problems.,2,1,$0.50,Female,English,None,No technical issues.,Chrome,Windows,1080,1920,2.391966666666667,
784,cond16,It was very colorful.,It's not a big deal.,10_hat_doubt,0,I doubt that Chris knitted a hat.,unexp,doubt,It was very colorful.,[],16,28,Yes,Encountered no problems.,2,1,$0.50,Female,English,None,No technical issues.,Chrome,Windows,1080,1920,2.391966666666667,
784,cond16,Her rat makes a lot of noise at night.,Her rat makes a lot of noise at night.,6_rat_affirmative_modal_ref,1,Carla got a pet rat but she wanted to get a bird.,exp,affirmative_modal,Her bird makes a lot of noise at night.,[],16,28,Yes,Encountered no problems.,2,1,$0.50,Female,English,None,No technical issues.,Chrome,Windows,1080,1920,2.391966666666667,
784,cond16,and it has a self-driving mode.,and it has a self-driving mode.,2_car_affirmative,1,Lucy has a car,exp,affirmative,and it's not a big deal.,[],16,28,Yes,Encountered no problems.,2,1,$0.50,Female,English,None,No technical issues.,Chrome,Windows,1080,1920,2.391966666666667,
784,cond16,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],16,28,Yes,Encountered no problems.,2,1,$0.50,Female,English,None,No technical issues.,Chrome,Windows,1080,1920,2.391966666666667,
910,cond16,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],16,22,Yes,,0,2,1.00,Male,English ,,Not sure,Chrome,Linux,854,385,4.890666666666666,
910,cond16,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],16,22,Yes,,0,2,1.00,Male,English ,,Not sure,Chrome,Linux,854,385,4.890666666666666,
910,cond16,Her rat makes a lot of noise at night.,Her rat makes a lot of noise at night.,6_rat_affirmative_modal_ref,1,Carla got a pet rat but she wanted to get a bird.,exp,affirmative_modal,Her bird makes a lot of noise at night.,[],16,22,Yes,,0,2,1.00,Male,English ,,Not sure,Chrome,Linux,854,385,4.890666666666666,
910,cond16,and it's not a big deal.,and it has a self-driving mode.,2_car_affirmative,1,Lucy has a car,unexp,affirmative,and it's not a big deal.,[],16,22,Yes,,0,2,1.00,Male,English ,,Not sure,Chrome,Linux,854,385,4.890666666666666,
910,cond16,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],16,22,Yes,,0,2,1.00,Male,English ,,Not sure,Chrome,Linux,854,385,4.890666666666666,
910,cond16,It was very colorful.,It's not a big deal.,10_hat_doubt,0,I doubt that Chris knitted a hat.,unexp,doubt,It was very colorful.,[],16,22,Yes,,0,2,1.00,Male,English ,,Not sure,Chrome,Linux,854,385,4.890666666666666,
910,cond16,The room that he tried to get could not be booked online.,The room that he tried to get could not be booked online.,12_ticket_managed_failed_nonref,1,Thomas managed to book a ticket in advance but failed to book a hotel room.,exp,managed_failed,The ticket he tried to get could not be booked online.,[],16,22,Yes,,0,2,1.00,Male,English ,,Not sure,Chrome,Linux,854,385,4.890666666666666,
910,cond16,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],16,22,Yes,,0,2,1.00,Male,English ,,Not sure,Chrome,Linux,854,385,4.890666666666666,
1235,cond16,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],16,24,Yes,,3,1,,Male,English,,,Chrome,Mac,800,1280,1.9440333333333333,
1235,cond16,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],16,24,Yes,,3,1,,Male,English,,,Chrome,Mac,800,1280,1.9440333333333333,
1235,cond16,Her rat makes a lot of noise at night.,Her rat makes a lot of noise at night.,6_rat_affirmative_modal_ref,1,Carla got a pet rat but she wanted to get a bird.,exp,affirmative_modal,Her bird makes a lot of noise at night.,[],16,24,Yes,,3,1,,Male,English,,,Chrome,Mac,800,1280,1.9440333333333333,
1235,cond16,It's not a big deal.,It's not a big deal.,10_hat_doubt,0,I doubt that Chris knitted a hat.,exp,doubt,It was very colorful.,[],16,24,Yes,,3,1,,Male,English,,,Chrome,Mac,800,1280,1.9440333333333333,
1235,cond16,and it has a self-driving mode.,and it has a self-driving mode.,2_car_affirmative,1,Lucy has a car,exp,affirmative,and it's not a big deal.,[],16,24,Yes,,3,1,,Male,English,,,Chrome,Mac,800,1280,1.9440333333333333,
1235,cond16,The room that he tried to get could not be booked online.,The room that he tried to get could not be booked online.,12_ticket_managed_failed_nonref,0,Thomas managed to book a ticket in advance but failed to book a hotel room.,exp,managed_failed,The ticket he tried to get could not be booked online.,[],16,24,Yes,,3,1,,Male,English,,,Chrome,Mac,800,1280,1.9440333333333333,
1235,cond16,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],16,24,Yes,,3,1,,Male,English,,,Chrome,Mac,800,1280,1.9440333333333333,
1235,cond16,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],16,24,Yes,,3,1,,Male,English,,,Chrome,Mac,800,1280,1.9440333333333333,
1108,cond16,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],16,21,Yes,Some of these were funny because you could both technically. ,2,2,0.34 pounds,Male,English,,No,Chrome,Windows,1080,1920,3.37105,
1108,cond16,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],16,21,Yes,Some of these were funny because you could both technically. ,2,2,0.34 pounds,Male,English,,No,Chrome,Windows,1080,1920,3.37105,
1108,cond16,Her rat makes a lot of noise at night.,Her rat makes a lot of noise at night.,6_rat_affirmative_modal_ref,1,Carla got a pet rat but she wanted to get a bird.,exp,affirmative_modal,Her bird makes a lot of noise at night.,[],16,21,Yes,Some of these were funny because you could both technically. ,2,2,0.34 pounds,Male,English,,No,Chrome,Windows,1080,1920,3.37105,
1108,cond16,The room that he tried to get could not be booked online.,The room that he tried to get could not be booked online.,12_ticket_managed_failed_nonref,0,Thomas managed to book a ticket in advance but failed to book a hotel room.,exp,managed_failed,The ticket he tried to get could not be booked online.,[],16,21,Yes,Some of these were funny because you could both technically. ,2,2,0.34 pounds,Male,English,,No,Chrome,Windows,1080,1920,3.37105,
1108,cond16,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],16,21,Yes,Some of these were funny because you could both technically. ,2,2,0.34 pounds,Male,English,,No,Chrome,Windows,1080,1920,3.37105,
1108,cond16,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],16,21,Yes,Some of these were funny because you could both technically. ,2,2,0.34 pounds,Male,English,,No,Chrome,Windows,1080,1920,3.37105,
1108,cond16,and it has a self-driving mode.,and it has a self-driving mode.,2_car_affirmative,1,Lucy has a car,exp,affirmative,and it's not a big deal.,[],16,21,Yes,Some of these were funny because you could both technically. ,2,2,0.34 pounds,Male,English,,No,Chrome,Windows,1080,1920,3.37105,
1108,cond16,It was very colorful.,It's not a big deal.,10_hat_doubt,0,I doubt that Chris knitted a hat.,unexp,doubt,It was very colorful.,[],16,21,Yes,Some of these were funny because you could both technically. ,2,2,0.34 pounds,Male,English,,No,Chrome,Windows,1080,1920,3.37105,
1009,cond16,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],16,61,Yes,,3,2,fifty cents,Female,English,n/a,No.,Firefox,Windows,1080,1920,1.7763833333333334,
1009,cond16,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],16,61,Yes,,3,2,fifty cents,Female,English,n/a,No.,Firefox,Windows,1080,1920,1.7763833333333334,
1009,cond16,It's not a big deal.,It's not a big deal.,10_hat_doubt,0,I doubt that Chris knitted a hat.,exp,doubt,It was very colorful.,[],16,61,Yes,,3,2,fifty cents,Female,English,n/a,No.,Firefox,Windows,1080,1920,1.7763833333333334,
1009,cond16,Her rat makes a lot of noise at night.,Her rat makes a lot of noise at night.,6_rat_affirmative_modal_ref,1,Carla got a pet rat but she wanted to get a bird.,exp,affirmative_modal,Her bird makes a lot of noise at night.,[],16,61,Yes,,3,2,fifty cents,Female,English,n/a,No.,Firefox,Windows,1080,1920,1.7763833333333334,
1009,cond16,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],16,61,Yes,,3,2,fifty cents,Female,English,n/a,No.,Firefox,Windows,1080,1920,1.7763833333333334,
1009,cond16,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],16,61,Yes,,3,2,fifty cents,Female,English,n/a,No.,Firefox,Windows,1080,1920,1.7763833333333334,
1009,cond16,The room that he tried to get could not be booked online.,The room that he tried to get could not be booked online.,12_ticket_managed_failed_nonref,0,Thomas managed to book a ticket in advance but failed to book a hotel room.,exp,managed_failed,The ticket he tried to get could not be booked online.,[],16,61,Yes,,3,2,fifty cents,Female,English,n/a,No.,Firefox,Windows,1080,1920,1.7763833333333334,
1009,cond16,and it has a self-driving mode.,and it has a self-driving mode.,2_car_affirmative,0,Lucy has a car,exp,affirmative,and it's not a big deal.,[],16,61,Yes,,3,2,fifty cents,Female,English,n/a,No.,Firefox,Windows,1080,1920,1.7763833333333334,
1315,cond114,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],114,23,Yes,,3,2,.30,Female,English,,,Firefox,Windows,1080,1920,1.4820166666666668,
1315,cond114,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],114,23,Yes,,3,2,.30,Female,English,,,Firefox,Windows,1080,1920,1.4820166666666668,
1315,cond114,The bass made a great dinner.,The bass made a great dinner.,11_cod_managed_failed_ref,0,Sarah managed to catch a bass but failed to catch a cod.,exp,managed_failed,The cod made a great dinner.,[],114,23,Yes,,3,2,.30,Female,English,,,Firefox,Windows,1080,1920,1.4820166666666668,
1315,cond114,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],114,23,Yes,,3,2,.30,Female,English,,,Firefox,Windows,1080,1920,1.4820166666666668,
1315,cond114,and it's not a big deal.,and it's not a big deal.,8_cake_negated,1,Michael didn't bake a cake,exp,negated,and it was the best thing at the picnic.,[],114,23,Yes,,3,2,.30,Female,English,,,Firefox,Windows,1080,1920,1.4820166666666668,
1315,cond114,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],114,23,Yes,,3,2,.30,Female,English,,,Firefox,Windows,1080,1920,1.4820166666666668,
1315,cond114,The hat that she tried on didn't fit.,The hat that she tried on didn't fit.,5_shirt_affirmative_modal_nonref,0,Mary found a shirt at the store but she wanted to find a hat.,exp,affirmative_modal,The shirt that she tried on didn't fit.,[],114,23,Yes,,3,2,.30,Female,English,,,Firefox,Windows,1080,1920,1.4820166666666668,
758,cond114,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],114,39,Yes,,3,2,0.20,Male,English,None,,Chrome,Windows,1080,2560,1.60085,
758,cond114,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],114,39,Yes,,3,2,0.20,Male,English,None,,Chrome,Windows,1080,2560,1.60085,
758,cond114,and it's not a big deal.,and it's not a big deal.,8_cake_negated,0,Michael didn't bake a cake,exp,negated,and it was the best thing at the picnic.,[],114,39,Yes,,3,2,0.20,Male,English,None,,Chrome,Windows,1080,2560,1.60085,
758,cond114,The bass made a great dinner.,The bass made a great dinner.,11_cod_managed_failed_ref,0,Sarah managed to catch a bass but failed to catch a cod.,exp,managed_failed,The cod made a great dinner.,[],114,39,Yes,,3,2,0.20,Male,English,None,,Chrome,Windows,1080,2560,1.60085,
758,cond114,The shirt that she tried on didn't fit.,The hat that she tried on didn't fit.,5_shirt_affirmative_modal_nonref,0,Mary found a shirt at the store but she wanted to find a hat.,unexp,affirmative_modal,The shirt that she tried on didn't fit.,[],114,39,Yes,,3,2,0.20,Male,English,None,,Chrome,Windows,1080,2560,1.60085,
758,cond114,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],114,39,Yes,,3,2,0.20,Male,English,None,,Chrome,Windows,1080,2560,1.60085,
758,cond114,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],114,39,Yes,,3,2,0.20,Male,English,None,,Chrome,Windows,1080,2560,1.60085,
850,cond114,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],114,27,Yes,,1,1,£0.34,Female,English,,no,Chrome,Windows,720,1280,2.4751,
850,cond114,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],114,27,Yes,,1,1,£0.34,Female,English,,no,Chrome,Windows,720,1280,2.4751,
850,cond114,The bass made a great dinner.,The bass made a great dinner.,11_cod_managed_failed_ref,0,Sarah managed to catch a bass but failed to catch a cod.,exp,managed_failed,The cod made a great dinner.,[],114,27,Yes,,1,1,£0.34,Female,English,,no,Chrome,Windows,720,1280,2.4751,
850,cond114,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],114,27,Yes,,1,1,£0.34,Female,English,,no,Chrome,Windows,720,1280,2.4751,
850,cond114,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],114,27,Yes,,1,1,£0.34,Female,English,,no,Chrome,Windows,720,1280,2.4751,
850,cond114,and it's not a big deal.,and it's not a big deal.,8_cake_negated,0,Michael didn't bake a cake,exp,negated,and it was the best thing at the picnic.,[],114,27,Yes,,1,1,£0.34,Female,English,,no,Chrome,Windows,720,1280,2.4751,
850,cond114,The hat that she tried on didn't fit.,The hat that she tried on didn't fit.,5_shirt_affirmative_modal_nonref,1,Mary found a shirt at the store but she wanted to find a hat.,exp,affirmative_modal,The shirt that she tried on didn't fit.,[],114,27,Yes,,1,1,£0.34,Female,English,,no,Chrome,Windows,720,1280,2.4751,
1314,cond114,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],114,30,Yes,Thanks!,1,2,Yes,Male,English,Japanese,There were not,Chrome,Windows,864,1536,1.16015,
1314,cond114,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],114,30,Yes,Thanks!,1,2,Yes,Male,English,Japanese,There were not,Chrome,Windows,864,1536,1.16015,
1314,cond114,The hat that she tried on didn't fit.,The hat that she tried on didn't fit.,5_shirt_affirmative_modal_nonref,0,Mary found a shirt at the store but she wanted to find a hat.,exp,affirmative_modal,The shirt that she tried on didn't fit.,[],114,30,Yes,Thanks!,1,2,Yes,Male,English,Japanese,There were not,Chrome,Windows,864,1536,1.16015,
1314,cond114,and it's not a big deal.,and it's not a big deal.,8_cake_negated,1,Michael didn't bake a cake,exp,negated,and it was the best thing at the picnic.,[],114,30,Yes,Thanks!,1,2,Yes,Male,English,Japanese,There were not,Chrome,Windows,864,1536,1.16015,
1314,cond114,The bass made a great dinner.,The bass made a great dinner.,11_cod_managed_failed_ref,1,Sarah managed to catch a bass but failed to catch a cod.,exp,managed_failed,The cod made a great dinner.,[],114,30,Yes,Thanks!,1,2,Yes,Male,English,Japanese,There were not,Chrome,Windows,864,1536,1.16015,
1314,cond114,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],114,30,Yes,Thanks!,1,2,Yes,Male,English,Japanese,There were not,Chrome,Windows,864,1536,1.16015,
1314,cond114,to win the game.,to win the game.,filler_2,1,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],114,30,Yes,Thanks!,1,2,Yes,Male,English,Japanese,There were not,Chrome,Windows,864,1536,1.16015,
1068,cond114,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],114,38,Yes,Thanks,3,2,.75,Male,English,none,no,Chrome,Windows,1080,1920,1.2754833333333333,
1068,cond114,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,0,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],114,38,Yes,Thanks,3,2,.75,Male,English,none,no,Chrome,Windows,1080,1920,1.2754833333333333,
1068,cond114,and it's not a big deal.,and it's not a big deal.,8_cake_negated,1,Michael didn't bake a cake,exp,negated,and it was the best thing at the picnic.,[],114,38,Yes,Thanks,3,2,.75,Male,English,none,no,Chrome,Windows,1080,1920,1.2754833333333333,
1068,cond114,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],114,38,Yes,Thanks,3,2,.75,Male,English,none,no,Chrome,Windows,1080,1920,1.2754833333333333,
1068,cond114,The bass made a great dinner.,The bass made a great dinner.,11_cod_managed_failed_ref,1,Sarah managed to catch a bass but failed to catch a cod.,exp,managed_failed,The cod made a great dinner.,[],114,38,Yes,Thanks,3,2,.75,Male,English,none,no,Chrome,Windows,1080,1920,1.2754833333333333,
1068,cond114,and a helmet online.,and a helmet online.,filler_1,0,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],114,38,Yes,Thanks,3,2,.75,Male,English,none,no,Chrome,Windows,1080,1920,1.2754833333333333,
1068,cond114,The hat that she tried on didn't fit.,The hat that she tried on didn't fit.,5_shirt_affirmative_modal_nonref,1,Mary found a shirt at the store but she wanted to find a hat.,exp,affirmative_modal,The shirt that she tried on didn't fit.,[],114,38,Yes,Thanks,3,2,.75,Male,English,none,no,Chrome,Windows,1080,1920,1.2754833333333333,
1194,cond114,and sugar for breakfast.,and sugar for breakfast.,practice_1,0,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],114,39,Yes,,3,1,$0.50,Male,English,,,Firefox,Windows,1200,1920,2.0473833333333333,
1194,cond114,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],114,39,Yes,,3,1,$0.50,Male,English,,,Firefox,Windows,1200,1920,2.0473833333333333,
1194,cond114,The bass made a great dinner.,The bass made a great dinner.,11_cod_managed_failed_ref,0,Sarah managed to catch a bass but failed to catch a cod.,exp,managed_failed,The cod made a great dinner.,[],114,39,Yes,,3,1,$0.50,Male,English,,,Firefox,Windows,1200,1920,2.0473833333333333,
1194,cond114,and it's not a big deal.,and it's not a big deal.,8_cake_negated,1,Michael didn't bake a cake,exp,negated,and it was the best thing at the picnic.,[],114,39,Yes,,3,1,$0.50,Male,English,,,Firefox,Windows,1200,1920,2.0473833333333333,
1194,cond114,to win the game.,to win the game.,filler_2,0,Jane bet on her favorite basketball team,exp,filler,to give birth to four kittens.,[],114,39,Yes,,3,1,$0.50,Male,English,,,Firefox,Windows,1200,1920,2.0473833333333333,
1194,cond114,The hat that she tried on didn't fit.,The hat that she tried on didn't fit.,5_shirt_affirmative_modal_nonref,1,Mary found a shirt at the store but she wanted to find a hat.,exp,affirmative_modal,The shirt that she tried on didn't fit.,[],114,39,Yes,,3,1,$0.50,Male,English,,,Firefox,Windows,1200,1920,2.0473833333333333,
1194,cond114,and a helmet online.,and a helmet online.,filler_1,1,Andrew bought a scooter,exp,filler,and a horror movie at the the movie theater.,[],114,39,Yes,,3,1,$0.50,Male,English,,,Firefox,Windows,1200,1920,2.0473833333333333,
1239,cond70,and sugar for breakfast.,and sugar for breakfast.,practice_1,1,Peter had a coffee with milk,exp,filler,and socks in the drawer.,[],70,37,Yes,,4,2,$0.50,Male,English,,No,Chrome,Mac,900,1440,2.1184166666666666,
1239,cond70,She enjoyed the songs in the final act the most.,She enjoyed the songs in the final act the most.,practice_2,1,Pam saw a show on Broadway.,exp,filler,She watered the plants with rainwater.,[],70,37,Yes,,4,2,$0.50,Male,English,,No,Chrome,Mac,900,1440,2.1184166666666666,
1239,cond70,It's not a big deal.,It's not a big deal.,5_shirt_doubt,1,I doubt that Mary found a shirt at the store.,exp,doubt,It looks amazing on her.,[],70,37,Yes,,4,2,$0.50,Male,English,,No,Chrome,Mac,900,1440,2.1184166666666666,
1239,cond70,The cake that he was planning to make required too many ingredients.,The cake that he was planning to make required too many ingredients.,8_cake_negation_affirmative_nonref,0,Michael didn't bake a cake but he baked a pie.,exp,negation_affirmative,The pie that he was planning to make required too many ingredients.,[],70,37,Yes,,4,2,$0.50,Male,English,,No,Chrome,Mac,900,1440,2.1184166666666666,
